video_id,caption,sen_id,category,url,start time,end time,split,id,__index_level_0__
video1173,a man doll talking to a boy doll,58800,14,https://www.youtube.com/watch?v=Bs-q5ku8B24,145.49,159.57,train,1173,195
video1174,a bus with an ice cream cone on top is driving around,74160,9,https://www.youtube.com/watch?v=3MCG66O2vWY,602.22,621.37,train,1174,196
video1177,a gamer is playing online,41760,2,https://www.youtube.com/watch?v=c0uW5eQqQjM,708.62,719.6,train,1177,199
video118,the  man is saying about the dish might be he made it was a piece of meat which was already cooked,131080,16,https://www.youtube.com/watch?v=tMCe4uOkYmo,125.81,136.09,train,118,202
video1181,a band is performing a song for a large crowd,5220,0,https://www.youtube.com/watch?v=QZfmZTndt4M,94.44,109.76,train,1181,204
video1183,a man in black t-shirt and spectacles is talking,124560,7,https://www.youtube.com/watch?v=SEumziAtywk,51.5,67.05,train,1183,206
video1187,water flowing from far end with so much greenery around,125560,11,https://www.youtube.com/watch?v=vuVtkuIsGoE,0.0,24.88,train,1187,210
video1188,a person is explaining something,48800,16,https://www.youtube.com/watch?v=-5YnzROk7RM,165.97,176.65,train,1188,211
video1189,a man is mocking newspeople,43780,4,https://www.youtube.com/watch?v=6Ed5NOQICAY,298.35,313.73,train,1189,212
video119,a music video showing a black artist singing with many other male and female artist around,102080,0,https://www.youtube.com/watch?v=y2o19g5pBPM,21.49,36.0,train,119,213
video1190,a bunch of loud lamborghini s a driving up and down the street all at different times,108800,9,https://www.youtube.com/watch?v=YhLO-6TmC4g,75.49,101.28,train,1190,214
video1193,a man giving demo of something,46000,10,https://www.youtube.com/watch?v=LcqwumiTRtk,98.75,117.36,train,1193,217
video1195,a bulldog puppy attempts to walk on carpet,14040,13,https://www.youtube.com/watch?v=amtuB-2wGeQ,93.97,106.87,train,1195,219
video1196,a black screen with white words describing spongebob taking revenge and not forgetting his loss,23380,2,https://www.youtube.com/watch?v=S3rWUGjtn_4,122.96,134.0,train,1196,220
video12,a man is angrily talking to another man,47540,7,https://www.youtube.com/watch?v=bha24P9uw-E,73.08,83.3,train,12,224
video1200,a character is driving a big-wheeled vehicle in a video game,61240,9,https://www.youtube.com/watch?v=3bIVH2BtDF4,310.02,324.2,train,1200,226
video1203,a man holding a baby carrier,45820,9,https://www.youtube.com/watch?v=HQkvV_tAvis,7.98,19.18,train,1203,229
video1222,a cartoon involving animals,63820,9,https://www.youtube.com/watch?v=AL-jE2w8EDM,249.51,259.56,train,1222,250
video133,a small child looking for some surprise which is hiding,96720,14,https://www.youtube.com/watch?v=XbaHgHQk4OI,192.71,203.52,train,133,369
video1463,a cartoon shows an images of an ambulance and a motorcycle,65400,9,https://www.youtube.com/watch?v=-CilXCFVwBg,46.55,60.05,train,1463,517
video1597,a bus with an ice cream cone on top is being driven,74180,9,https://www.youtube.com/watch?v=3MCG66O2vWY,638.15,650.16,train,1597,665
video1634,men trying to save dummies from a fire one man dropped a dummie from a stretcher,96380,9,https://www.youtube.com/watch?v=Xa7Bgj0y3eg,35.49,49.69,train,1634,707
video1785,there is a man walking  through the forest with a lady,99460,11,https://www.youtube.com/watch?v=x3dBFQeI9Ig,196.88,218.23,train,1785,874
video1872,a man in a white tee shirt wearing a backpack walks through a rock filled creek,99440,11,https://www.youtube.com/watch?v=x3dBFQeI9Ig,335.05,347.43,train,1872,971
video1888,a clip from a vice news story,90460,4,https://www.youtube.com/watch?v=0WQKPpqGEvI,8.1,18.65,train,1888,988
video209,a girl begins her tutorial on making glitter shoes,41580,10,https://www.youtube.com/watch?v=la2RnWF332M,126.64,138.59,train,209,1213
video2231,a well reputed man is talking to the audience ,114940,4,https://www.youtube.com/watch?v=z0v1tD5mPNY,27.75,41.45,train,2231,1371
video2284,a girl adds dabs to her nails and makes them colorful,42020,10,https://www.youtube.com/watch?v=-FqiEIpJN8c,284.1,298.38,train,2284,1429
video2830,a band is playing twangy music,21280,0,https://www.youtube.com/watch?v=PCFE7gjLeW4,94.73,112.05,train,2830,2036
video3299,a bad rapper raps about christmas,4400,0,https://www.youtube.com/watch?v=9lcjXHx9b6o,179.31,191.99,train,3299,2556
video3470,the woman prepare the special food item with lot of vegetable and other ingredients,125020,17,https://www.youtube.com/watch?v=vNFDLkQZD5w,142.02,153.8,train,3470,2747
video3525,a dog is running on a field,83820,13,https://www.youtube.com/watch?v=fyz2bryWD8g,70.95,83.03,train,3525,2808
video3604,surfers sit on the beach then catch waves in the ocean,131960,3,https://www.youtube.com/watch?v=SyGG6i9YPP8,55.92,82.63,train,3604,2896
video3615,a  and  tasty and delicious dish,400,16,https://www.youtube.com/watch?v=SaipyYSqX3c,168.76,180.84,train,3615,2908
video3646,a commercial for american carpet,92580,10,https://www.youtube.com/watch?v=LcqwumiTRtk,238.62,252.53,train,3646,2942
video3855,a bald man in a chefs coat stands in a kitchen and speaks about the food on a board in front of him,138180,16,https://www.youtube.com/watch?v=ua6Q4oAnUEw,60.14,74.02,train,3855,3174
video3947,a is chased by police in a video game,55980,9,https://www.youtube.com/watch?v=bwmn2CThQ2Y,212.73,222.94,train,3947,3276
video4055,a fire burning in the woods,38800,10,https://www.youtube.com/watch?v=NuZy8Rjk4d0,151.41,162.45,train,4055,3397
video4243,a couple smiles then an asian lady applies for  a job then another couple hold hands,78920,15,https://www.youtube.com/watch?v=N708P-A45D0,40.59,51.07,train,4243,3606
video4257,a circuit board is shown,65580,10,https://www.youtube.com/watch?v=nqtReuXQF5E,339.02,349.26,train,4257,3621
video4471,a boy is playing a video game,14960,2,https://www.youtube.com/watch?v=c0uW5eQqQjM,524.24,535.65,train,4471,3859
video4522,a band is performing on stage,19460,0,https://www.youtube.com/watch?v=4Nt1r0vOpY4,243.04,257.56,train,4522,3916
video453,a bald man in a black coat stands in the back of a parking lot and points to the great amount of cars there,125480,9,https://www.youtube.com/watch?v=VK5ADL57j7Y,158.35,179.61,train,453,3924
video4698,a cartoon is displaying various vehicles,64000,9,https://www.youtube.com/watch?v=-CilXCFVwBg,60.05,72.65,train,4698,4110
video4761,the woman cutting one piece of the item by the use of the scissor,122480,17,https://www.youtube.com/watch?v=vE2WEYeGNQo,149.7,168.42,train,4761,4181
video4900,man people walk down a busy street at night past restaurants and businesses,135340,18,https://www.youtube.com/watch?v=Uw7aGaAut8I,239.45,251.37,train,4900,4336
video5108,a famous woman is being interviewed at a red carpet event,84900,4,https://www.youtube.com/watch?v=0Knp_ciNF_k,886.65,896.69,train,5108,4567
video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,127600,5,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,train,5524,5029
video5548,a character in grand theft auto 5 gets on a motorcycle,61280,9,https://www.youtube.com/watch?v=19HB8Z8LBnQ,77.76,88.24,train,5548,5055
video5712,a carpenter shows people how to do it,76700,10,https://www.youtube.com/watch?v=LcqwumiTRtk,167.11,182.06,train,5712,5238
video5830,a baseball fan runs across the playing field during a match,17720,3,https://www.youtube.com/watch?v=wv5m1-9J0hM,97.24,111.63,train,5830,5369
video5870,a person is skiing on a snowy mountain and doing a ski jump,108360,3,https://www.youtube.com/watch?v=XWzYOpWi65E,36.75,57.47,train,5870,5413
video5942,there is a red stylish car on the road,136340,9,https://www.youtube.com/watch?v=ujn7jEQ4ib4,95.21,108.73,train,5942,5493
video6229,a cartoon involving animals,63860,0,https://www.youtube.com/watch?v=aGunjhMR2y8,95.17,106.55,train,6229,5812
video636,a fire is burning,38780,10,https://www.youtube.com/watch?v=NuZy8Rjk4d0,246.77,273.81,train,636,5957
video6422,a clip from a bleach video game,67420,2,https://www.youtube.com/watch?v=8GncD3BAzNg,152.03,164.01,train,6422,6027
video6502,a car engine is running,71120,9,https://www.youtube.com/watch?v=IbPAMyvTLks,49.9,63.58,train,6502,6116
video854,a person is frying meat in the kitchen,124960,17,https://www.youtube.com/watch?v=vNFDLkQZD5w,300.35,312.29,train,854,6849
video965,a girl driving car,42360,9,https://www.youtube.com/watch?v=20ClJoxxxtQ,161.51,172.75,train,965,6972
video984,a boy is covering his ears,9460,13,https://www.youtube.com/watch?v=a3MyLt6l5n0,73.45,84.51,train,984,6993
video994,there is a woman is making a dish with boiled water,110560,16,https://www.youtube.com/watch?v=W3YVmSMl-fY,259.97,278.41,train,994,7004
